ObtenRelojDatosEmps X, 81, '2016-03-07', '07:03:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-07', '07:05:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-07', '07:05:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-07', '07:06:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-07', '07:06:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-07', '07:43:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-07', '08:32:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-07', '08:38:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-07', '08:50:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-07', '08:50:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-07', '08:58:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-07', '08:58:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-07', '14:43:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-07', '14:43:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-07', '14:44:00', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-07', '15:00:04', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-07', '15:00:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-07', '15:00:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-07', '15:00:55', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-07', '15:03:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-07', '15:06:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-07', '15:06:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-07', '15:06:37', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-07', '16:55:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-07', '16:59:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-07', '16:59:18', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-07', '16:59:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-07', '17:00:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-07', '17:08:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-07', '22:17:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-07', '22:17:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-07', '23:00:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-07', '23:00:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-07', '23:00:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-07', '23:00:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-07', '23:00:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-08', '06:42:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-08', '06:42:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-08', '06:53:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-08', '06:54:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-08', '06:55:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-08', '06:55:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-08', '07:00:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-08', '07:00:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-08', '07:00:30', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-08', '07:00:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-08', '07:00:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-08', '07:02:55', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-08', '08:46:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-08', '08:55:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-08', '08:55:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-08', '08:55:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-08', '08:55:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-08', '14:59:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-08', '14:59:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-08', '14:59:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-08', '15:00:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-08', '15:00:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-08', '15:00:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-08', '15:03:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-08', '15:03:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-08', '15:07:58', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-08', '15:08:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-08', '15:17:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-08', '15:28:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-08', '17:00:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-08', '17:04:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-08', '17:04:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-08', '17:05:29', 'N', ' ', ' '
